Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Player_Avg_Rating_Before_Injury,Player_Avg_Rating_After_Injury,Avg_GD_Before_Injury,Avg_GD_Missed_Matches,Team_Performance_Drop_Index
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,78.0,Coronavirus,"Nov 25, 2020","Dec 11, 2020",Missing,,,,lose,Chelsea,-2.0,6.3,Missing,,,,win,Crystal Palace,2.0,Missing,,,Missing,,,win,West Brom,1.0,6.9,lose,Leeds,-3.0,5.9,draw,Fulham,0.0,7.2,6.3,6.666666666666667,-2.0,2.0,-4.0
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,87.0,Knee injury,"Mar 20, 2021","Jun 1, 2021",draw,West Brom,0.0,6.7,draw,Aston Villa,0.0,6.9,lose,Brighton,-3.0,6.2,draw,Tottenham,0.0,win,Burnley,2.0,win,West Ham,1.0,Missing,,,,Missing,,,,Missing,,,,6.6000000000000005,,-1.0,1.0,-2.0
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78.0,Groin injury,"Oct 19, 2020","Nov 20, 2020",draw,Tottenham,0.0,5.9,win,Burnley,2.0,7.1,lose,Man United,-3.0,6.7,draw,Wolves,0.0,win,Everton,1.0,lose,Southampton,-2.0,win,Crystal Palace,2.0,6.5,win,West Brom,1.0,6.6,draw,Fulham,0.0,6.7,6.566666666666666,6.6000000000000005,-0.3333333333333333,-0.3333333333333333,0.0
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78.0,Hamstring injury,"Jan 4, 2021","Jan 17, 2021",lose,Leicester,-1.0,5.8,Missing,,,,Missing,,,,lose,Sheffield,-1.0,Missing,,,Missing,,,lose,Arsenal,-3.0,6.2,lose,Aston Villa,-2.0,6.2,lose,Leeds,-1.0,6.6,5.8,6.333333333333333,-1.0,-1.0,0.0
Matt Ritchie,Newcastle,Right Midfielder,31,2020/21,76.0,Shoulder injury,"Sep 27, 2020","Nov 25, 2020",draw,Tottenham,0.0,6.0,Missing,,,,Missing,,,,win,Burnley,2.0,lose,Man United,-3.0,draw,Wolves,1.0,win,Crystal Palace,2.0,6.6,win,West Brom,1.0,6.1,draw,Fulham,0.0,5.0,6.0,5.8999999999999995,0.0,0.0,0.0
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79.0,Ankle injury,"Sep 21, 2020","Oct 1, 2020",win,West Ham,2.0,6.7,lose,Brighton,-3.0,5.3,Missing,,,,draw,Tottenham,0.0,Missing,,,Missing,,,win,Burnley,2.0,8.3,lose,Man United,-3.0,7.3,draw,Wolves,0.0,6.5,6.0,7.366666666666667,-0.5,0.0,-0.5
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79.0,Calf injury,"Nov 22, 2020","Jan 22, 2021",win,Everton,1.0,6.2,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,5.9,win,Crystal Palace,2.0,win,West Brom,1.0,lose,Leeds,-3.0,lose,Aston Villa,-2.0,5.7,lose,Leeds,-1.0,6.1,win,Everton,2.0,5.4,6.066666666666667,5.733333333333334,-1.0,0.0,-1.0
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79.0,Groin injury,"Feb 28, 2021","Apr 4, 2021",lose,Chelsea,-2.0,6.1,lose,Man United,-2.0,7.4,draw,Wolves,0.0,7.0,draw,West Brom,0.0,draw,Aston Villa,0.0,lose,Brighton,-3.0,draw,Tottenham,0.0,5.5,win,Burnley,1.0,7.8,win,West Ham,1.0,6.3,6.833333333333333,6.533333333333334,-1.3333333333333333,-1.0,-0.33333333333333326
Miguel Almirón,Newcastle,Right winger,27,2020/21,76.0,Knee injury,"Feb 28, 2021","Mar 15, 2021",lose,Chelsea,-2.0,6.1,lose,Man United,-2.0,5.7,draw,Wolves,0.0,6.2,draw,West Brom,0.0,draw,Aston Villa,0.0,Missing,,,lose,Brighton,-3.0,5.6,draw,Tottenham,0.0,6.5,win,Burnley,1.0,6.3,6.0,6.133333333333333,-1.3333333333333333,0.0,-1.3333333333333333
Dwight Gayle,Newcastle,Center Forward,31,2020/21,75.0,Inner ligament injury,"Sep 5, 2020","Dec 11, 2020",Missing,,,,Missing,,,,Missing,,,,win,West Ham,2.0,lose,Brighton,-3.0,draw,Tottenham,0.0,win,West Brom,1.0,7.8,lose,Leeds,-3.0,6.0,draw,Fulham,0.0,6.5,,6.766666666666667,,-0.3333333333333333,
Jamal Lewis,Newcastle,Left Back,23,2020/21,75.0,Knee problems,"Dec 31, 2020","Jan 15, 2021",Missing,,,,lose,Man City,-2.0,5.9,Missing,,,,lose,Leicester,-1.0,lose,Sheffield,-1.0,Missing,,,lose,Arsenal,-3.0,5.6,lose,Aston Villa,-2.0,5.1,lose,Leeds,-1.0,6.3,5.9,5.666666666666667,-2.0,-1.0,-1.0
Ryan Fraser,Newcastle,Left winger,27,2020/21,77.0,Hamstring injury,"Nov 2, 2020","Dec 15, 2020",lose,Man United,-3.0,5.1,draw,Wolves,0.0,5.7,win,Everton,1.0,5.7,lose,Southampton,-2.0,lose,Chelsea,-2.0,win,Crystal Palace,2.0,lose,Leeds,-3.0,7.1,draw,Fulham,0.0,6.0,Missing,,,,5.5,6.55,-0.6666666666666666,-0.6666666666666666,0.0
